Округ,Территория (ТИК),№ участка,участки в местах временного пребывания избирателей,участки с КОИБ
ЦАО,Арбат,1,,на участке будет использоваться КОИБ
ЦАО,Арбат,2,,на участке будет использоваться КОИБ
ЦАО,Арбат,3,,на участке будет использоваться КОИБ
ЦАО,Арбат,4,,на участке будет использоваться КОИБ
ЦАО,Арбат,5,,на участке будет использоваться КОИБ
ЦАО,Арбат,6,,на участке будет использоваться КОИБ
ЦАО,Арбат,7,,на участке будет использоваться КОИБ
ЦАО,Арбат,8,,на участке будет использоваться КОИБ
ЦАО,Арбат,9,,на участке будет использоваться КОИБ
ЦАО,Басманный,10,,на участке будет использоваться КОИБ
ЦАО,Басманный,11,,на участке будет использоваться КОИБ
ЦАО,Басманный,12,,на участке будет использоваться КОИБ
ЦАО,Басманный,13,,на участке будет использоваться КОИБ
ЦАО,Басманный,14,,на участке будет использоваться КОИБ
ЦАО,Басманный,15,,на участке будет использоваться КОИБ
ЦАО,Басманный,16,,на участке будет использоваться КОИБ
ЦАО,Басманный,17,,на участке будет использоваться КОИБ
ЦАО,Басманный,18,,на участке будет использоваться КОИБ
ЦАО,Басманный,19,,на участке будет использоваться КОИБ
ЦАО,Басманный,20,,на участке будет использоваться КОИБ
ЦАО,Басманный,21,,на участке будет использоваться КОИБ
ЦАО,Басманный,22,,на участке будет использоваться КОИБ
ЦАО,Басманный,23,,на участке будет использоваться КОИБ
ЦАО,Басманный,24,,на участке будет использоваться КОИБ
ЦАО,Басманный,25,,на участке будет использоваться КОИБ
ЦАО,Басманный,26,,на участке будет использоваться КОИБ
ЦАО,Басманный,27,,на участке будет использоваться КОИБ
ЦАО,Басманный,28,,на участке будет использоваться КОИБ
ЦАО,Басманный,29,,на участке будет использоваться КОИБ
ЦАО,Басманный,30,,на участке будет использоваться КОИБ
ЦАО,Басманный,31,,на участке будет использоваться КОИБ
ЦАО,Басманный,32,,на участке будет использоваться КОИБ
ЦАО,Басманный,33,,на участке будет использоваться КОИБ
ЦАО,Басманный,34,,на участке будет использоваться КОИБ
ЦАО,Басманный,35,,на участке будет использоваться КОИБ
ЦАО,Басманный,36,,на участке будет использоваться КОИБ
ЦАО,Басманный,37,,на участке будет использоваться КОИБ
ЦАО,Басманный,3601,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3602,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3603,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3604,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3605,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3606,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3607,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3608,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,3609,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Басманный,4001,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,38,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,39,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,40,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,41,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,42,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,43,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,44,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,45,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,46,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,47,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,48,,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,3610,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,3611,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,3612,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Замоскворечье,4002,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Красносельский,49,,на участке будет использоваться КОИБ
ЦАО,Красносельский,50,,на участке будет использоваться КОИБ
ЦАО,Красносельский,51,,на участке будет использоваться КОИБ
ЦАО,Красносельский,52,,на участке будет использоваться КОИБ
ЦАО,Красносельский,53,,на участке будет использоваться КОИБ
ЦАО,Красносельский,54,,на участке будет использоваться КОИБ
ЦАО,Красносельский,55,,на участке будет использоваться КОИБ
ЦАО,Красносельский,56,,на участке будет использоваться КОИБ
ЦАО,Красносельский,57,,на участке будет использоваться КОИБ
ЦАО,Красносельский,58,,на участке будет использоваться КОИБ
ЦАО,Красносельский,4003,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Красносельский,4004,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Красносельский,4005,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Мещанский,59,,на участке будет использоваться КОИБ
ЦАО,Мещанский,60,,на участке будет использоваться КОИБ
ЦАО,Мещанский,61,,на участке будет использоваться КОИБ
ЦАО,Мещанский,62,,на участке будет использоваться КОИБ
ЦАО,Мещанский,63,,на участке будет использоваться КОИБ
ЦАО,Мещанский,64,,на участке будет использоваться КОИБ
ЦАО,Мещанский,65,,на участке будет использоваться КОИБ
ЦАО,Мещанский,66,,на участке будет использоваться КОИБ
ЦАО,Мещанский,67,,на участке будет использоваться КОИБ
ЦАО,Мещанский,68,,на участке будет использоваться КОИБ
ЦАО,Мещанский,69,,на участке будет использоваться КОИБ
ЦАО,Мещанский,70,,на участке будет использоваться КОИБ
ЦАО,Мещанский,71,,на участке будет использоваться КОИБ
ЦАО,Мещанский,72,,на участке будет использоваться КОИБ
ЦАО,Мещанский,3613,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Мещанский,3614,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Мещанский,3615,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Пресненский,73,,на участке будет использоваться КОИБ
ЦАО,Пресненский,74,,на участке будет использоваться КОИБ
ЦАО,Пресненский,75,,на участке будет использоваться КОИБ
ЦАО,Пресненский,76,,на участке будет использоваться КОИБ
ЦАО,Пресненский,77,,на участке будет использоваться КОИБ
ЦАО,Пресненский,78,,на участке будет использоваться КОИБ
ЦАО,Пресненский,79,,на участке будет использоваться КОИБ
ЦАО,Пресненский,80,,на участке будет использоваться КОИБ
ЦАО,Пресненский,81,,на участке будет использоваться КОИБ
ЦАО,Пресненский,82,,на участке будет использоваться КОИБ
ЦАО,Пресненский,83,,на участке будет использоваться КОИБ
ЦАО,Пресненский,84,,на участке будет использоваться КОИБ
ЦАО,Пресненский,85,,на участке будет использоваться КОИБ
ЦАО,Пресненский,86,,на участке будет использоваться КОИБ
ЦАО,Пресненский,87,,на участке будет использоваться КОИБ
ЦАО,Пресненский,88,,на участке будет использоваться КОИБ
ЦАО,Пресненский,89,,на участке будет использоваться КОИБ
ЦАО,Пресненский,90,,на участке будет использоваться КОИБ
ЦАО,Пресненский,91,,на участке будет использоваться КОИБ
ЦАО,Пресненский,92,,на участке будет использоваться КОИБ
ЦАО,Пресненский,93,,на участке будет использоваться КОИБ
ЦАО,Пресненский,94,,на участке будет использоваться КОИБ
ЦАО,Пресненский,95,,на участке будет использоваться КОИБ
ЦАО,Пресненский,96,,на участке будет использоваться КОИБ
ЦАО,Пресненский,97,,на участке будет использоваться КОИБ
ЦАО,Пресненский,98,,на участке будет использоваться КОИБ
ЦАО,Пресненский,99,,на участке будет использоваться КОИБ
ЦАО,Пресненский,100,,на участке будет использоваться КОИБ
ЦАО,Пресненский,101,,на участке будет использоваться КОИБ
ЦАО,Пресненский,102,,на участке будет использоваться КОИБ
ЦАО,Пресненский,103,,на участке будет использоваться КОИБ
ЦАО,Пресненский,104,,на участке будет использоваться КОИБ
ЦАО,Пресненский,3616,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Пресненский,3617,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Таганский,105,,на участке будет использоваться КОИБ
ЦАО,Таганский,106,,на участке будет использоваться КОИБ
ЦАО,Таганский,107,,на участке будет использоваться КОИБ
ЦАО,Таганский,108,,на участке будет использоваться КОИБ
ЦАО,Таганский,109,,на участке будет использоваться КОИБ
ЦАО,Таганский,110,,на участке будет использоваться КОИБ
ЦАО,Таганский,111,,на участке будет использоваться КОИБ
ЦАО,Таганский,112,,на участке будет использоваться КОИБ
ЦАО,Таганский,113,,на участке будет использоваться КОИБ
ЦАО,Таганский,114,,на участке будет использоваться КОИБ
ЦАО,Таганский,115,,на участке будет использоваться КОИБ
ЦАО,Таганский,116,,на участке будет использоваться КОИБ
ЦАО,Таганский,117,,на участке будет использоваться КОИБ
ЦАО,Таганский,118,,на участке будет использоваться КОИБ
ЦАО,Таганский,119,,на участке будет использоваться КОИБ
ЦАО,Таганский,120,,на участке будет использоваться КОИБ
ЦАО,Таганский,121,,на участке будет использоваться КОИБ
ЦАО,Таганский,122,,на участке будет использоваться КОИБ
ЦАО,Таганский,123,,на участке будет использоваться КОИБ
ЦАО,Таганский,124,,на участке будет использоваться КОИБ
ЦАО,Таганский,125,,на участке будет использоваться КОИБ
ЦАО,Таганский,126,,на участке будет использоваться КОИБ
ЦАО,Таганский,127,,на участке будет использоваться КОИБ
ЦАО,Таганский,128,,на участке будет использоваться КОИБ
ЦАО,Таганский,129,,на участке будет использоваться КОИБ
ЦАО,Таганский,130,,на участке будет использоваться КОИБ
ЦАО,Таганский,131,,на участке будет использоваться КОИБ
ЦАО,Таганский,132,,на участке будет использоваться КОИБ
ЦАО,Таганский,133,,на участке будет использоваться КОИБ
ЦАО,Таганский,134,,на участке будет использоваться КОИБ
ЦАО,Таганский,135,,на участке будет использоваться КОИБ
ЦАО,Таганский,136,,на участке будет использоваться КОИБ
ЦАО,Таганский,3618,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Таганский,3619,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Таганский,3620,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Таганский,3621,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Тверской,137,,на участке будет использоваться КОИБ
ЦАО,Тверской,138,,на участке будет использоваться КОИБ
ЦАО,Тверской,139,,на участке будет использоваться КОИБ
ЦАО,Тверской,140,,на участке будет использоваться КОИБ
ЦАО,Тверской,141,,на участке будет использоваться КОИБ
ЦАО,Тверской,142,,на участке будет использоваться КОИБ
ЦАО,Тверской,143,,на участке будет использоваться КОИБ
ЦАО,Тверской,144,,на участке будет использоваться КОИБ
ЦАО,Тверской,145,,на участке будет использоваться КОИБ
ЦАО,Тверской,146,,на участке будет использоваться КОИБ
ЦАО,Тверской,147,,на участке будет использоваться КОИБ
ЦАО,Тверской,148,,на участке будет использоваться КОИБ
ЦАО,Тверской,149,,на участке будет использоваться КОИБ
ЦАО,Тверской,150,,на участке будет использоваться КОИБ
ЦАО,Тверской,151,,на участке будет использоваться КОИБ
ЦАО,Тверской,152,,на участке будет использоваться КОИБ
ЦАО,Тверской,153,,на участке будет использоваться КОИБ
ЦАО,Тверской,154,,на участке будет использоваться КОИБ
ЦАО,Тверской,155,,на участке будет использоваться КОИБ
ЦАО,Тверской,3622,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Тверской,3623,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Тверской,3624,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Тверской,3625,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Тверской,3626,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Тверской,4006,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Хамовники,156,,на участке будет использоваться КОИБ
ЦАО,Хамовники,157,,на участке будет использоваться КОИБ
ЦАО,Хамовники,158,,на участке будет использоваться КОИБ
ЦАО,Хамовники,159,,на участке будет использоваться КОИБ
ЦАО,Хамовники,160,,на участке будет использоваться КОИБ
ЦАО,Хамовники,161,,на участке будет использоваться КОИБ
ЦАО,Хамовники,162,,на участке будет использоваться КОИБ
ЦАО,Хамовники,163,,на участке будет использоваться КОИБ
ЦАО,Хамовники,164,,на участке будет использоваться КОИБ
ЦАО,Хамовники,165,,на участке будет использоваться КОИБ
ЦАО,Хамовники,166,,на участке будет использоваться КОИБ
ЦАО,Хамовники,167,,на участке будет использоваться КОИБ
ЦАО,Хамовники,168,,на участке будет использоваться КОИБ
ЦАО,Хамовники,169,,на участке будет использоваться КОИБ
ЦАО,Хамовники,170,,на участке будет использоваться КОИБ
ЦАО,Хамовники,171,,на участке будет использоваться КОИБ
ЦАО,Хамовники,172,,на участке будет использоваться КОИБ
ЦАО,Хамовники,173,,на участке будет использоваться КОИБ
ЦАО,Хамовники,174,,на участке будет использоваться КОИБ
ЦАО,Хамовники,175,,на участке будет использоваться КОИБ
ЦАО,Хамовники,176,,на участке будет использоваться КОИБ
ЦАО,Хамовники,177,,на участке будет использоваться КОИБ
ЦАО,Хамовники,178,,на участке будет использоваться КОИБ
ЦАО,Хамовники,179,,на участке будет использоваться КОИБ
ЦАО,Хамовники,180,,на участке будет использоваться КОИБ
ЦАО,Хамовники,181,,на участке будет использоваться КОИБ
ЦАО,Хамовники,3627,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Хамовники,3628,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Хамовники,3629,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Хамовники,3630,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Хамовники,3631,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
ЦАО,Якиманка,182,,на участке будет использоваться КОИБ
ЦАО,Якиманка,183,,на участке будет использоваться КОИБ
ЦАО,Якиманка,184,,на участке будет использоваться КОИБ
ЦАО,Якиманка,185,,на участке будет использоваться КОИБ
ЦАО,Якиманка,186,,на участке будет использоваться КОИБ
ЦАО,Якиманка,187,,на участке будет использоваться КОИБ
ЦАО,Якиманка,3632,участок в месте временного пребывания избирателей,на участке будет использоваться КОИБ
САО,Аэропорт,188,,
САО,Аэропорт,189,,
САО,Аэропорт,190,,
САО,Аэропорт,191,,
САО,Аэропорт,192,,
САО,Аэропорт,193,,
САО,Аэропорт,194,,
САО,Аэропорт,195,,
САО,Аэропорт,196,,
САО,Аэропорт,197,,
САО,Аэропорт,198,,
САО,Аэропорт,199,,
САО,Аэропорт,200,,
САО,Аэропорт,201,,
САО,Аэропорт,202,,
САО,Аэропорт,203,,
САО,Аэропорт,204,,
САО,Аэропорт,205,,
САО,Аэропорт,206,,
САО,Аэропорт,3633,участок в месте временного пребывания избирателей,
САО,Аэропорт,3634,участок в месте временного пребывания избирателей,
САО,Аэропорт,3635,участок в месте временного пребывания избирателей,
САО,Беговой,207,,
САО,Беговой,208,,
САО,Беговой,209,,
САО,Беговой,210,,
САО,Беговой,211,,
САО,Беговой,212,,
САО,Беговой,213,,
САО,Беговой,214,,
САО,Беговой,215,,
САО,Беговой,216,,
САО,Беговой,217,,
САО,Беговой,3636,участок в месте временного пребывания избирателей,
САО,Беговой,3637,участок в месте временного пребывания избирателей,
САО,Беговой,3638,участок в месте временного пребывания избирателей,
САО,Бескудниковский,218,,
САО,Бескудниковский,219,,
САО,Бескудниковский,220,,
САО,Бескудниковский,221,,
САО,Бескудниковский,222,,
САО,Бескудниковский,223,,
САО,Бескудниковский,224,,
САО,Бескудниковский,225,,
САО,Бескудниковский,226,,
САО,Бескудниковский,227,,
САО,Бескудниковский,228,,
САО,Бескудниковский,229,,
САО,Бескудниковский,230,,
САО,Бескудниковский,231,,
САО,Бескудниковский,232,,
САО,Бескудниковский,233,,
САО,Бескудниковский,234,,
САО,Бескудниковский,235,,
САО,Бескудниковский,236,,
САО,Бескудниковский,237,,
САО,Бескудниковский,238,,
САО,Бескудниковский,3639,участок в месте временного пребывания избирателей,
САО,Бескудниковский,3640,участок в месте временного пребывания избирателей,
САО,Войковский,239,,
САО,Войковский,240,,
САО,Войковский,241,,
САО,Войковский,242,,
САО,Войковский,243,,
САО,Войковский,244,,
САО,Войковский,245,,
САО,Войковский,246,,
САО,Войковский,247,,
САО,Войковский,248,,
САО,Войковский,249,,
САО,Войковский,250,,
САО,Войковский,251,,
САО,Войковский,252,,
САО,Войковский,253,,
САО,Войковский,254,,
САО,Войковский,255,,
САО,Войковский,256,,
САО,Войковский,3641,участок в месте временного пребывания избирателей,
САО,Восточное Дегунино,257,,
САО,Восточное Дегунино,258,,
САО,Восточное Дегунино,259,,
САО,Восточное Дегунино,260,,
САО,Восточное Дегунино,261,,
САО,Восточное Дегунино,262,,
САО,Восточное Дегунино,263,,
САО,Восточное Дегунино,264,,
САО,Восточное Дегунино,265,,
САО,Восточное Дегунино,266,,
САО,Восточное Дегунино,267,,
САО,Восточное Дегунино,268,,
САО,Восточное Дегунино,269,,
САО,Восточное Дегунино,270,,
САО,Восточное Дегунино,271,,
САО,Восточное Дегунино,272,,
САО,Восточное Дегунино,273,,
САО,Восточное Дегунино,274,,
САО,Восточное Дегунино,275,,
САО,Восточное Дегунино,276,,
САО,Восточное Дегунино,277,,
САО,Восточное Дегунино,278,,
САО,Восточное Дегунино,279,,
САО,Восточное Дегунино,280,,
САО,Головинский,281,,
САО,Головинский,282,,
САО,Головинский,283,,
САО,Головинский,284,,
САО,Головинский,285,,
САО,Головинский,286,,
САО,Головинский,287,,
САО,Головинский,288,,
САО,Головинский,289,,
САО,Головинский,290,,
САО,Головинский,291,,
САО,Головинский,292,,
САО,Головинский,293,,
САО,Головинский,294,,
САО,Головинский,295,,
САО,Головинский,296,,
САО,Головинский,297,,
САО,Головинский,298,,
САО,Головинский,299,,
САО,Головинский,300,,
САО,Головинский,301,,
САО,Головинский,302,,
САО,Головинский,303,,
САО,Головинский,304,,
САО,Головинский,305,,
САО,Головинский,306,,
САО,Дмитровский,307,,
САО,Дмитровский,308,,
САО,Дмитровский,309,,
САО,Дмитровский,310,,
САО,Дмитровский,311,,
САО,Дмитровский,312,,
САО,Дмитровский,313,,
САО,Дмитровский,314,,
САО,Дмитровский,315,,
САО,Дмитровский,316,,
САО,Дмитровский,317,,
САО,Дмитровский,318,,
САО,Дмитровский,319,,
САО,Дмитровский,320,,
САО,Дмитровский,321,,
САО,Дмитровский,322,,
САО,Дмитровский,323,,
САО,Дмитровский,324,,
САО,Дмитровский,325,,
САО,Дмитровский,326,,
САО,Дмитровский,327,,
САО,Дмитровский,328,,
САО,Дмитровский,3642,участок в месте временного пребывания избирателей,
САО,Западное Дегунино,329,,
САО,Западное Дегунино,330,,
САО,Западное Дегунино,331,,
САО,Западное Дегунино,332,,
САО,Западное Дегунино,333,,
САО,Западное Дегунино,334,,
САО,Западное Дегунино,335,,
САО,Западное Дегунино,336,,
САО,Западное Дегунино,337,,
САО,Западное Дегунино,338,,
САО,Западное Дегунино,339,,
САО,Западное Дегунино,340,,
САО,Западное Дегунино,341,,
САО,Западное Дегунино,342,,
САО,Западное Дегунино,343,,
САО,Западное Дегунино,344,,
САО,Западное Дегунино,345,,
САО,Западное Дегунино,346,,
САО,Западное Дегунино,347,,
САО,Западное Дегунино,348,,
САО,Западное Дегунино,349,,
САО,Западное Дегунино,350,,
САО,Западное Дегунино,3643,участок в месте временного пребывания избирателей,
САО,Коптево,351,,
САО,Коптево,352,,
САО,Коптево,353,,
САО,Коптево,354,,
САО,Коптево,355,,
САО,Коптево,356,,
САО,Коптево,357,,
САО,Коптево,358,,
САО,Коптево,359,,
САО,Коптево,360,,
САО,Коптево,361,,
САО,Коптево,362,,
САО,Коптево,363,,
САО,Коптево,364,,
САО,Коптево,365,,
САО,Коптево,366,,
САО,Коптево,367,,
САО,Коптево,368,,
САО,Коптево,369,,
САО,Коптево,370,,
САО,Коптево,371,,
САО,Коптево,372,,
САО,Коптево,373,,
САО,Коптево,374,,
САО,Коптево,3644,участок в месте временного пребывания избирателей,
САО,Коптево,3645,участок в месте временного пребывания избирателей,
САО,Коптево,3646,участок в месте временного пребывания избирателей,
САО,Левобережный,375,,
САО,Левобережный,376,,
САО,Левобережный,377,,
САО,Левобережный,378,,
САО,Левобережный,379,,
САО,Левобережный,380,,
САО,Левобережный,381,,
САО,Левобережный,382,,
САО,Левобережный,383,,
САО,Левобережный,384,,
САО,Левобережный,385,,
САО,Левобережный,386,,
САО,Левобережный,387,,
САО,Левобережный,388,,
САО,Левобережный,3647,участок в месте временного пребывания избирателей,
САО,Левобережный,3648,участок в месте временного пребывания избирателей,
САО,Молжаниновский,389,,
САО,Савёловский,390,,
САО,Савёловский,391,,
САО,Савёловский,392,,
САО,Савёловский,393,,
САО,Савёловский,394,,
САО,Савёловский,395,,
САО,Савёловский,396,,
САО,Савёловский,397,,
САО,Савёловский,398,,
САО,Савёловский,399,,
САО,Савёловский,400,,
САО,Савёловский,401,,
САО,Савёловский,402,,
САО,Савёловский,403,,
САО,Савёловский,404,,
САО,Савёловский,3649,участок в месте временного пребывания избирателей,
САО,Савёловский,3650,участок в месте временного пребывания избирателей,
САО,Сокол,405,,
САО,Сокол,406,,
САО,Сокол,407,,
САО,Сокол,408,,
САО,Сокол,409,,
САО,Сокол,410,,
САО,Сокол,411,,
САО,Сокол,412,,
САО,Сокол,413,,
САО,Сокол,414,,
САО,Сокол,415,,
САО,Сокол,416,,
САО,Сокол,417,,
САО,Сокол,418,,
САО,Сокол,3651,участок в месте временного пребывания избирателей,
САО,Сокол,3652,участок в месте временного пребывания избирателей,
САО,Тимирязевский,419,,
САО,Тимирязевский,420,,
САО,Тимирязевский,421,,
САО,Тимирязевский,422,,
САО,Тимирязевский,423,,
САО,Тимирязевский,424,,
САО,Тимирязевский,425,,
САО,Тимирязевский,426,,
САО,Тимирязевский,427,,
САО,Тимирязевский,428,,
САО,Тимирязевский,429,,
САО,Тимирязевский,430,,
САО,Тимирязевский,431,,
САО,Тимирязевский,432,,
САО,Тимирязевский,433,,
САО,Тимирязевский,434,,
САО,Тимирязевский,435,,
САО,Тимирязевский,436,,
САО,Тимирязевский,437,,
САО,Тимирязевский,438,,
САО,Тимирязевский,439,,
САО,Тимирязевский,3653,участок в месте временного пребывания избирателей,
САО,Ховрино,440,,
САО,Ховрино,441,,
САО,Ховрино,442,,
САО,Ховрино,443,,
САО,Ховрино,444,,
САО,Ховрино,445,,
САО,Ховрино,446,,
САО,Ховрино,447,,
САО,Ховрино,448,,
САО,Ховрино,449,,
САО,Ховрино,450,,
САО,Ховрино,451,,
САО,Ховрино,452,,
САО,Ховрино,453,,
САО,Ховрино,454,,
САО,Ховрино,455,,
САО,Ховрино,456,,
САО,Ховрино,457,,
САО,Ховрино,458,,
САО,Ховрино,459,,
САО,Ховрино,460,,
САО,Ховрино,3654,участок в месте временного пребывания избирателей,
САО,Хорошёвский,461,,
САО,Хорошёвский,462,,
САО,Хорошёвский,463,,
САО,Хорошёвский,464,,
САО,Хорошёвский,465,,
САО,Хорошёвский,466,,
САО,Хорошёвский,467,,
САО,Хорошёвский,468,,
САО,Хорошёвский,469,,
САО,Хорошёвский,470,,
САО,Хорошёвский,471,,
САО,Хорошёвский,472,,
САО,Хорошёвский,473,,
САО,Хорошёвский,474,,
САО,Хорошёвский,475,,
САО,Хорошёвский,476,,
САО,Хорошёвский,477,,
САО,Хорошёвский,478,,
САО,Хорошёвский,479,,
СВАО,Алексеевский,480,,
СВАО,Алексеевский,481,,
СВАО,Алексеевский,482,,
СВАО,Алексеевский,483,,
СВАО,Алексеевский,484,,
СВАО,Алексеевский,485,,
СВАО,Алексеевский,486,,
СВАО,Алексеевский,487,,
СВАО,Алексеевский,488,,
СВАО,Алексеевский,489,,
СВАО,Алексеевский,490,,
СВАО,Алексеевский,491,,
СВАО,Алексеевский,492,,
СВАО,Алексеевский,493,,
СВАО,Алексеевский,494,,
СВАО,Алексеевский,495,,
СВАО,Алексеевский,496,,
СВАО,Алексеевский,497,,
СВАО,Алексеевский,498,,
СВАО,Алексеевский,499,,
СВАО,Алексеевский,3655,участок в месте временного пребывания избирателей,
СВАО,Алтуфьевский,500,,
СВАО,Алтуфьевский,501,,
СВАО,Алтуфьевский,502,,
СВАО,Алтуфьевский,503,,
СВАО,Алтуфьевский,504,,
СВАО,Алтуфьевский,505,,
СВАО,Алтуфьевский,506,,
СВАО,Алтуфьевский,507,,
СВАО,Алтуфьевский,508,,
СВАО,Алтуфьевский,509,,
СВАО,Алтуфьевский,510,,
СВАО,Алтуфьевский,511,,
СВАО,Алтуфьевский,512,,
СВАО,Алтуфьевский,513,,
СВАО,Бабушкинский,514,,
СВАО,Бабушкинский,515,,
СВАО,Бабушкинский,516,,
СВАО,Бабушкинский,517,,
СВАО,Бабушкинский,518,,
СВАО,Бабушкинский,519,,
СВАО,Бабушкинский,520,,
СВАО,Бабушкинский,521,,
СВАО,Бабушкинский,522,,
СВАО,Бабушкинский,523,,
СВАО,Бабушкинский,524,,
СВАО,Бабушкинский,525,,
СВАО,Бабушкинский,526,,
СВАО,Бабушкинский,527,,
СВАО,Бабушкинский,528,,
СВАО,Бабушкинский,529,,
СВАО,Бабушкинский,530,,
СВАО,Бабушкинский,531,,
СВАО,Бабушкинский,532,,
СВАО,Бабушкинский,533,,
СВАО,Бабушкинский,534,,
СВАО,Бабушкинский,535,,
СВАО,Бабушкинский,536,,
СВАО,Бабушкинский,537,,
СВАО,Бабушкинский,538,,
СВАО,Бабушкинский,3656,участок в месте временного пребывания избирателей,
СВАО,Бибирево,539,,
СВАО,Бибирево,540,,
СВАО,Бибирево,541,,
СВАО,Бибирево,542,,
СВАО,Бибирево,543,,
СВАО,Бибирево,544,,
СВАО,Бибирево,545,,
СВАО,Бибирево,546,,
СВАО,Бибирево,547,,
СВАО,Бибирево,548,,
СВАО,Бибирево,549,,
СВАО,Бибирево,550,,
СВАО,Бибирево,551,,
СВАО,Бибирево,552,,
СВАО,Бибирево,553,,
СВАО,Бибирево,554,,
СВАО,Бибирево,555,,
СВАО,Бибирево,556,,
СВАО,Бибирево,557,,
СВАО,Бибирево,558,,
СВАО,Бибирево,559,,
СВАО,Бибирево,560,,
СВАО,Бибирево,561,,
СВАО,Бибирево,562,,
СВАО,Бибирево,563,,
СВАО,Бибирево,564,,
СВАО,Бибирево,565,,
СВАО,Бибирево,566,,
СВАО,Бибирево,567,,
СВАО,Бибирево,568,,
СВАО,Бибирево,569,,
СВАО,Бибирево,570,,
СВАО,Бибирево,571,,
СВАО,Бибирево,572,,
СВАО,Бибирево,573,,
СВАО,Бибирево,574,,
СВАО,Бибирево,575,,
СВАО,Бибирево,576,,
СВАО,Бибирево,577,,
СВАО,Бибирево,578,,
СВАО,Бибирево,579,,
СВАО,Бибирево,580,,
СВАО,Бибирево,581,,
СВАО,Бибирево,3657,участок в месте временного пребывания избирателей,
СВАО,Бутырский,582,,
СВАО,Бутырский,583,,
СВАО,Бутырский,584,,
СВАО,Бутырский,585,,
СВАО,Бутырский,586,,
СВАО,Бутырский,587,,
СВАО,Бутырский,588,,
СВАО,Бутырский,589,,
СВАО,Бутырский,590,,
СВАО,Бутырский,591,,
СВАО,Бутырский,592,,
СВАО,Бутырский,593,,
СВАО,Бутырский,594,,
СВАО,Бутырский,595,,
СВАО,Бутырский,596,,
СВАО,Бутырский,597,,
СВАО,Бутырский,598,,
